SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,197-199 Joost Ave #199,San Francisco,CA,94131,878000,2,1.0,Sunnyside,,,1908,1,,271,Active,,,http://www.redfin.com/CA/San-Francisco/197-Joost-Ave-94131/unit-199/home/102815504,San Francisco MLS,500539,N,Y,37.732239,-122.4394685
MLS Listing,,Condo/Co-op,451 Kansas St #573,San Francisco,CA,94107,889000,1,1.0,Potrero Hill,,,2007,1,,520,Active,,,http://www.redfin.com/CA/San-Francisco/451-Kansas-St-94107/unit-573/home/23424558,San Francisco MLS,499813,N,Y,37.764113,-122.4029865
MLS Listing,,Condo/Co-op,262 6th Ave,San Francisco,CA,94118,1895000,3,2.5,Inner Richmond,2045,,1905,1,927,230,Active,,,http://www.redfin.com/CA/San-Francisco/262-6th-Ave-94118/home/101329528,San Francisco MLS,500540,N,Y,37.7836653,-122.464249
MLS Listing,,Condo/Co-op,590 Lombard St,San Francisco,CA,94133,2195000,3,3.0,North Beach,,,1926,1,,,Active,,,http://www.redfin.com/CA/San-Francisco/590-Lombard-St-94133/unit-594/home/1356987,San Francisco MLS,500445,N,Y,37.8031941,-122.411154
MLS Listing,,Condo/Co-op,77 Dow Pl #102,San Francisco,CA,94107,1019000,1,1.5,Yerba Buena,1173,,2002,1,869,870,Active,,,http://www.redfin.com/CA/San-Francisco/77-Dow-Pl-94107/unit-102/home/1553688,San Francisco MLS,500292,N,Y,37.7841561,-122.3966189
MLS Listing,,Condo/Co-op,2448 Lombard St #310,San Francisco,CA,94123,1768000,2,2.0,Marina,1141,,2020,1,1550,683,Active,,,http://www.redfin.com/CA/San-Francisco/2448-Lombard-St-94123/unit-310/home/172275886,San Francisco MLS,500455,N,Y,37.7993307,-122.4420593
MLS Listing,,Condo/Co-op,2448 Lombard St #201,San Francisco,CA,94123,988000,1,1.0,Marina,733,,2020,1,1348,602,Active,,,http://www.redfin.com/CA/San-Francisco/2448-Lombard-St-94123/unit-201/home/172275774,San Francisco MLS,500457,N,Y,37.7993307,-122.4420593
MLS Listing,,Single Family Residential,1058-1060 Fulton St,San Francisco,CA,94117,4998000,7,5.0,Alamo Square,,3781,1911,1,,,Active,,,http://www.redfin.com/CA/San-Francisco/1058-Fulton-St-94117/home/172275674,San Francisco MLS,499655,N,Y,37.7775622,-122.4342179
MLS Listing,,Single Family Residential,906 Capitol Ave,San Francisco,CA,94112,828000,2,1.0,Ingleside,,1875,1922,1,,,Active,,,http://www.redfin.com/CA/San-Francisco/906-Capitol-Ave-94112/home/1990842,San Francisco MLS,500518,N,Y,37.718413,-122.459042
MLS Listing,,Condo/Co-op,3641 Webster,San Francisco,CA,94117,1895000,2,1.5,Marina,1605,,,1,1181,437,Active,,,http://www.redfin.com/CA/San-Francisco/3641-Webster-St-94123/home/854169,San Francisco MLS,500505,N,Y,37.804322,-122.435565
