id,property_type,address,city,state,zip,price,beds,baths,neighborhoods,sq-foot,price_sqfoot,hoa_month,lat,lng,built_year,coordinates
24,Condo/Co-op,407 Miguel St,San Francisco,CA,94131,649000,1,1,Glen Park,,,245,37.73668,-122.426822,1890,"37.73668,-122.426822"
25,Condo/Co-op,1477 Dolores St #1477,San Francisco,CA,94110,1598000,2,2,Noe Valley,1483,1078,345,37.7458186,-122.4241859,1906,"37.7458186,-122.42418590000001"
26,Condo/Co-op,51 Innes Ct #207,San Francisco,CA,94124,699777,1,1,San Francisco,720,972,504,37.7272117,-122.367848,2017,"37.727211700000005,-122.367848"
27,Multi-Family (2-4 Unit),2437-2441 Post St,San Francisco,CA,94115,2149000,9,3,Lower Pacific Height,4260,504,,37.7837411,-122.4419644,1895,"37.7837411,-122.4419644"
28,Condo/Co-op,1781 Oak St #3,San Francisco,CA,94117,1049000,2,1,San Francisco,772,1359,,37.7714744,-122.4485572,1924,"37.7714744,-122.4485572"
29,Multi-Family (2-4 Unit),28 Santa Marina St,San Francisco,CA,94110,1250000,3,2,San Francisco,1436,870,,37.7401767,-122.4225598,1977,"37.740176700000006,-122.4225598"
30,Condo/Co-op,4349 18th St,San Francisco,CA,94114,1450000,2,2.5,San Francisco,1209,1199,398,37.7605142,-122.4380156,1904,"37.7605142,-122.4380156"
31,Condo/Co-op,117 Diamond Cove Ter,San Francisco,CA,94134,949000,2,2.5,San Francisco,1368,694,,37.7130704,-122.3941746,2012,"37.7130704,-122.3941746"
32,Condo/Co-op,5301 Mission St #4,San Francisco,CA,94112,779000,2,2,San Francisco,1018,765,307,37.7143074,-122.4426364,2001,"37.714307399999996,-122.44263640000001"
33,Single Family Residential,1222 43rd Ave,San Francisco,CA,94122,949000,2,1,Outer Sunset,1075,883,,37.7638278,-122.5027416,1924,"37.7638278,-122.5027416"
34,Single Family Residential,1670 Newcomb Ave,San Francisco,CA,94124,850000,2,1,Bayview,1041,817,,37.7362275,-122.3909974,1936,"37.736227500000005,-122.39099740000002"
35,Condo/Co-op,10 South Park St #9,San Francisco,CA,94107,1399000,2,1.75,South Beach,1145,1222,792,37.782357,-122.3935037,1993,"37.782357,-122.3935037"
36,Vacant Land,7 Edgar Pl,SAN FRANCISCO,CA,94112,699000,,,SAN FRANCISCO,,,,37.7205952,-122.4524539,nan,"37.720595200000005,-122.45245390000001"
37,Condo/Co-op,401 Harrison St Unit 24G,San Francisco,CA,94105,1149000,1,1,South Beach,760,1512,1225,37.7864989,-122.3921487,2014,"37.7864989,-122.39214869999999"
38,Multi-Family (5+ Unit),888 Waller St,San Francisco,CA,94117,3750000,12,,Buena Vista Park,5820,644,,37.7703816,-122.4383084,1900,"37.7703816,-122.4383084"
39,Condo/Co-op,197-199 Joost Ave #199,San Francisco,CA,94131,878000,2,1,Sunnyside,,,271,37.732239,-122.4394685,1908,"37.732239,-122.4394685"
40,Condo/Co-op,451 Kansas St #573,San Francisco,CA,94107,889000,1,1,Potrero Hill,,,520,37.764113,-122.4029865,2007,"37.764113,-122.4029865"
41,Condo/Co-op,262 6th Ave,San Francisco,CA,94118,1895000,3,2.5,Inner Richmond,2045,927,230,37.7836653,-122.464249,1905,"37.783665299999996,-122.464249"
42,Condo/Co-op,590 Lombard St,San Francisco,CA,94133,2195000,3,3,North Beach,,,,37.8031941,-122.411154,1926,"37.8031941,-122.41115400000001"
43,Condo/Co-op,77 Dow Pl #102,San Francisco,CA,94107,1019000,1,1.5,Yerba Buena,1173,869,870,37.7841561,-122.3966189,2002,"37.7841561,-122.3966189"
44,Condo/Co-op,2448 Lombard St #310,San Francisco,CA,94123,1768000,2,2,Marina,1141,1550,683,37.7993307,-122.4420593,2020,"37.799330700000006,-122.44205929999998"
45,Condo/Co-op,2448 Lombard St #201,San Francisco,CA,94123,988000,1,1,Marina,733,1348,602,37.7993307,-122.4420593,2020,"37.799330700000006,-122.44205929999998"
46,Single Family Residential,1058-1060 Fulton St,San Francisco,CA,94117,4998000,7,5,Alamo Square,,,,37.7775622,-122.4342179,1911,"37.777562200000006,-122.43421790000001"
47,Single Family Residential,906 Capitol Ave,San Francisco,CA,94112,828000,2,1,Ingleside,,,,37.718413,-122.459042,1922,"37.718413,-122.459042"
48,Condo/Co-op,3641 Webster,San Francisco,CA,94117,1895000,2,1.5,Marina,1605,1181,437,37.804322,-122.435565,nan,"37.804322,-122.435565"
49,Condo/Co-op,232 Castro St #2,San Francisco,CA,94114,1875000,2,2,Duboce Triangle,1844,1017,583,37.7651627,-122.4357522,1997,"37.765162700000005,-122.43575220000001"
50,Single Family Residential,308 Los Palmos Dr,San Francisco,CA,94127,1250000,2,1,Miraloma Park,,,,37.7359723,-122.4502996,1960,"37.7359723,-122.45029960000001"
51,Condo/Co-op,1462 Broadway,San Francisco,CA,94109,1195000,2,2,Nob Hill,1171,1020,572,37.796168,-122.421171,1909,"37.796168,-122.421171"
52,Condo/Co-op,170 King St #601,San Francisco,CA,94107,1299999,2,2,South Beach,1005,1294,752,37.7789817,-122.3917515,2007,"37.7789817,-122.39175149999998"
53,Single Family Residential,1968 Greenwich St,San Francisco,CA,94123,3425000,3,2.5,Cow Hollow,2418,1416,200,37.799718,-122.432113,1900,"37.799718,-122.43211299999999"
54,Condo/Co-op,1966 Greenwich St,San Francisco,CA,94123,1400000,2,1.5,Cow Hollow,1066,1313,100,37.7996649,-122.4321307,1900,"37.799664899999996,-122.4321307"
55,Single Family Residential,4330 19th St,San Francisco,CA,94114,2195000,3,1.5,Eureka Valley/Dolore,1845,1190,,37.759306,-122.437727,1906,"37.759306,-122.437727"
56,Condo/Co-op,870 Harrison St #203,SAN FRANCISCO,CA,94107,688000,1,1,SAN FRANCISCO,531,1296,598,37.7797425,-122.4013573,2015,"37.7797425,-122.40135729999999"
57,Condo/Co-op,950 Tennessee St #109,San Francisco,CA,94107,929000,1,1,Central Waterfront,777,1196,544,37.7596747,-122.3898245,2020,"37.759674700000005,-122.38982450000002"
58,Condo/Co-op,3953 24th St #1,San Francisco,CA,94114,799000,1,2,Noe Valley,813,983,625,37.7512478,-122.4307834,2004,"37.751247799999994,-122.43078340000001"
59,Condo/Co-op,710 Arguello Blvd,San Francisco,CA,94118,1445000,3,3,Lone Mountain,1375,1051,395,37.7769035,-122.4583089,1919,"37.776903499999996,-122.45830890000002"
60,Single Family Residential,26 Maddux Ave,San Francisco,CA,94124,1400000,4,2,Silver Terrace,1860,753,,37.7348067,-122.3984875,1941,"37.73480670000001,-122.3984875"
61,Single Family Residential,2614 25th Ave,San Francisco,CA,94116,1149000,3,1,Parkside,1300,884,,37.7387219,-122.481629,1947,"37.7387219,-122.481629"
62,Multi-Family (2-4 Unit),969-971 Oak St,San Francisco,CA,94117,2150000,5,2,Hayes Valley,2227,965,,37.7731313,-122.4351738,1900,"37.773131299999996,-122.43517379999999"
63,Townhouse,200 Dolores St #3,San Francisco,CA,94103,1749000,2,2.5,Mission Dolores,1441,1214,727,37.7660572,-122.4269225,2014,"37.766057200000006,-122.4269225"
64,Condo/Co-op,55 Red Rock Way Unit 110O,San Francisco,CA,94131,489000,0,1,Diamond Heights,474,1032,491,37.7459864,-122.4410176,1972,"37.7459864,-122.4410176"
65,Condo/Co-op,1298 Treat Ave,San Francisco,CA,94110,1249000,4,2,Inner Mission,1250,999,360,37.7493778,-122.4127122,1900,"37.7493778,-122.4127122"
66,Condo/Co-op,1440 Broadway #304,San Francisco,CA,94109,799000,1,1,Nob Hill,685,1166,677,37.7963851,-122.4207265,1982,"37.7963851,-122.42072649999999"
67,Condo/Co-op,1625 Lake St,San Francisco,CA,94121,1549000,2,2,Lake,1577,982,200,37.785911,-122.4771297,1995,"37.785911,-122.4771297"
68,Condo/Co-op,1483 Oak St,San Francisco,CA,94117,1795000,3,2.5,Haight Ashbury,2584,695,250,37.772086,-122.443644,1900,"37.772086,-122.44364399999999"
69,Multi-Family (2-4 Unit),1029 Anza St,San Francisco,CA,94118,1495000,3,2,Inner Richmond,2300,650,,37.7791099,-122.4593516,1905,"37.7791099,-122.45935159999998"
70,Single Family Residential,32 Josiah Ave,San Francisco,CA,94112,799000,1,1,Ingleside,,,,37.7186265,-122.4529937,1900,"37.7186265,-122.4529937"
71,Multi-Family (2-4 Unit),2637 Baker St,San Francisco,CA,94123,2998000,9,2,Cow Hollow,5055,593,,37.7953907,-122.4456377,1913,"37.7953907,-122.4456377"
72,Condo/Co-op,435 China Basin St #521,SAN FRANCISCO,CA,94158,1550000,2,2,SAN FRANCISCO,1259,1231,783,37.7715936,-122.3885893,2012,"37.771593599999996,-122.38858929999999"
73,Condo/Co-op,2172 Pine St #2,San Francisco,CA,94115,1249000,1,1,Lower Pacific Height,1201,1040,330,37.7885051,-122.4315366,1875,"37.7885051,-122.43153659999999"
74,Multi-Family (5+ Unit),500-504 8th Ave,San Francisco,CA,94118,2868000,6,,Inner Richmond,5015,572,,37.7788932,-122.4661732,1907,"37.778893200000006,-122.46617320000001"
75,Condo/Co-op,188 Minna St Unit 32D,San Francisco,CA,94105,3849000,2,2.5,Yerba Buena,1792,2148,2744,37.7861462,-122.4013007,2005,"37.786146200000005,-122.4013007"
76,Condo/Co-op,494 Filbert St,San Francisco,CA,94133,1295000,2,1,Telegraph Hill,981,1320,120,37.8017553,-122.4077021,1939,"37.801755299999996,-122.4077021"
77,Single Family Residential,421 Point Lobos Ave,San Francisco,CA,94121,1395000,2,2,Outer Richmond,1443,967,,37.7796376,-122.5077261,1941,"37.7796376,-122.5077261"
78,Condo/Co-op,355 Bryant St #104,San Francisco,CA,94107,2495000,2,2,South Beach,2206,1131,950,37.7835506,-122.3924215,1917,"37.7835506,-122.39242150000001"
79,Single Family Residential,530 Crescent Ave,San Francisco,CA,94110,1179000,2,1,Bernal Heights,1125,1048,,37.7347192,-122.415745,1938,"37.7347192,-122.415745"
80,Condo/Co-op,1410 Shrader St,San Francisco,CA,94117,1645000,2,1.5,Parnassus/Ashbury Heights,1607,1024,170,37.762191,-122.450426,1916,"37.762190999999994,-122.45042600000001"
81,Condo/Co-op,400 Beale St #506,San Francisco,CA,94105,1049000,2,1,South Beach,1038,1011,,37.7869049,-122.3909202,2002,"37.7869049,-122.39092020000001"
