id,property_type,address,city,state,zip,price,beds,baths,neighborhoods,sq-foot,price_sqfoot,hoa_month,lat,lng,built_year,coordinates
158,Condo/Co-op,1244 12th Ave,San Francisco,CA,94122,1275000,3,1.5,Inner Sunset,1249,1021,200,37.7649479,-122.469266,1905,"37.764947899999996,-122.46926599999999"
159,Single Family Residential,198 Bradford St,San Francisco,CA,94110,1498000,4,2,Bernal Heights,1940,772,,37.7398866,-122.4098379,nan,"37.739886600000006,-122.4098379"
160,Multi-Family (2-4 Unit),635-637 Baker St,San Francisco,CA,94117,2775000,8,5,North Panhandle,4200,661,,37.7770339,-122.4419544,1900,"37.7770339,-122.4419544"
161,Condo/Co-op,875 Indiana St #326,SAN FRANCISCO,CA,94107,989000,1,1.5,SAN FRANCISCO,855,1157,524,37.7596716,-122.3908629,2009,"37.759671600000004,-122.3908629"
162,Condo/Co-op,333 Beale St Unit 4C,San Francisco,CA,94105,1228000,1,1.5,South Beach,916,1341,1134,37.7884937,-122.3918797,2015,"37.788493700000004,-122.3918797"
163,Single Family Residential,240 Chenery St,San Francisco,CA,94131,4500000,4,4.5,Glen Park,3650,1233,,37.7384164,-122.4267064,1908,"37.7384164,-122.4267064"
164,Condo/Co-op,1755 Jackson St #406,San Francisco,CA,94109,2250000,3,3,Pacific Heights,1906,1180,750,37.7935378,-122.4240021,1923,"37.793537799999996,-122.4240021"
165,Multi-Family (5+ Unit),402 Duboce Ave,San Francisco,CA,94117,6350000,17,,Duboce Triangle,9399,676,,37.7695951,-122.4301556,1908,"37.769595100000004,-122.43015559999999"
166,Condo/Co-op,81 Lansing St #410,San Francisco,CA,94105,949000,1,1,South Beach,855,1110,743,37.7856392,-122.3940066,1995,"37.785639200000006,-122.39400659999998"
167,Multi-Family (2-4 Unit),729-733 Vallejo St,San Francisco,CA,94133,1299000,6,2,North Beach,3660,355,,37.7983197,-122.4093184,1906,"37.79831970000001,-122.40931840000002"
168,Townhouse,2001 McAllister St #254,San Francisco,CA,94118,1450000,2,2.5,North Panhandle,1407,1031,931,37.7763812,-122.4456902,2002,"37.7763812,-122.4456902"
169,Single Family Residential,4073-4075 17th St,San Francisco,CA,94114,2795000,3,3,Corona Heights,2336,1196,,37.7622875,-122.4367055,1907,"37.7622875,-122.43670549999999"
170,Single Family Residential,3020 Scott St,San Francisco,CA,94123,3980000,3,3.5,Cow Hollow,2400,1658,,37.7980388,-122.4405642,1900,"37.7980388,-122.4405642"
171,Condo/Co-op,338 Main St Unit 35D,San Francisco,CA,94105,1498000,1,1,South Beach,963,1556,1143,37.7886733,-122.3914178,2016,"37.78867329999999,-122.39141780000001"
172,Multi-Family (5+ Unit),674-678 Haight St,San Francisco,CA,94117,3100000,9,,Hayes Valley,5655,548,,37.7719836,-122.4333667,1890,"37.7719836,-122.43336670000001"
173,Condo/Co-op,2200 Sacramento St #1305,San Francisco,CA,94115,2050000,1,2,Pacific Heights,,,682,37.7906814,-122.4294984,1964,"37.790681400000004,-122.42949840000001"
174,Condo/Co-op,1333 Jones St #1609,San Francisco,CA,94109,1250000,1,1,Nob Hill,,,1185,37.793621,-122.4148823,1961,"37.793621,-122.41488229999999"
175,Condo/Co-op,2946 Pierce,San Francisco,CA,94123,4250000,3,3.5,Cow Hollow,2798,1519,300,37.797331,-122.438648,nan,"37.797331,-122.438648"
176,Single Family Residential,867 27th Ave,San Francisco,CA,94121,799950,3,2,Central Richmond,1666,480,,37.7730701,-122.4866809,1931,"37.7730701,-122.48668090000001"
177,Single Family Residential,366 Quintara St,San Francisco,CA,94116,1325000,2,1,Golden Gate Heights,,,,37.7490791,-122.4695788,1949,"37.7490791,-122.4695788"
178,Single Family Residential,311 Amber Dr,San Francisco,CA,94131,2350000,3,2,Diamond Heights,1648,1426,,37.7445366,-122.4422784,1963,"37.7445366,-122.44227839999999"
179,Condo/Co-op,1177 California St #623,San Francisco,CA,94108,725000,1,1,Nob Hill,706,1027,1139,37.7910262,-122.4136476,1978,"37.791026200000005,-122.4136476"
180,Single Family Residential,46 Porter St,SAN FRANCISCO,CA,94110,1199000,3,2,SAN FRANCISCO,1420,844,,37.7343942,-122.4183776,1900,"37.734394200000004,-122.41837759999999"
181,Single Family Residential,78 Cotter St,San Francisco,CA,94112,995000,4,3,San Francisco County,1580,630,,37.7280723,-122.4343947,1905,"37.7280723,-122.4343947"
182,Single Family Residential,63 Carmel St,San Francisco,CA,94117,3650000,4,4.5,Parnassus/Ashbury Heights,4588,796,,37.7607091,-122.4480468,1922,"37.7607091,-122.44804679999999"
183,Single Family Residential,930 Naples St,San Francisco,CA,94112,1250000,3,2,Excelsior,1540,812,,37.715078,-122.435899,1921,"37.715078000000005,-122.43589899999999"
184,Condo/Co-op,965 Folsom St #202,San Francisco,CA,94107,1100000,1,1.5,South of Market,1547,711,705,37.7790012,-122.404485,2000,"37.7790012,-122.40448500000001"
185,Condo/Co-op,222 Eureka St,San Francisco,CA,94114,1495000,2,1.5,Eureka Valley/Dolore,1365,1095,375,37.758628,-122.438388,1902,"37.758628,-122.43838799999999"
186,Condo/Co-op,4397 25th St,San Francisco,CA,94114,1399000,3,1,Noe Valley,1339,1045,430,37.749249,-122.43815,1908,"37.749249,-122.43815"
187,Condo/Co-op,280 Spear St Unit 4U,San Francisco,CA,94105,945000,1,1,South Beach,671,1408,1078,37.7903739,-122.3913812,2020,"37.7903739,-122.3913812"
188,Single Family Residential,663 Marina Blvd,San Francisco,CA,94123,9250000,6,6.5,Marina,5420,1707,,37.8052169,-122.4447837,1937,"37.8052169,-122.4447837"
189,Single Family Residential,1401 Shafter Ave,San Francisco,CA,94124,980000,3,2.5,Bayview,1412,694,,37.7288266,-122.3872686,1929,"37.7288266,-122.3872686"
190,Multi-Family (2-4 Unit),1061-1065 Oak St,San Francisco,CA,94117,2500000,4,2,Hayes Valley,3418,731,,37.7729291,-122.4367287,1900,"37.772929100000006,-122.4367287"
191,Single Family Residential,454 32nd Ave,SAN FRANCISCO,CA,94121,1888000,3,3.5,SAN FRANCISCO,1968,959,,37.7806473,-122.4920309,1924,"37.7806473,-122.49203090000002"
192,Condo/Co-op,388 Fulton St #310,San Francisco,CA,94102,310798,0,1,Hayes Valley,347,896,445,37.7790409,-122.4231102,2016,"37.7790409,-122.4231102"
193,Condo/Co-op,301 Mission St Unit 3H,San Francisco,CA,94105,754000,1,1,Yerba Buena,773,975,1531,37.7903824,-122.3961531,2009,"37.7903824,-122.39615309999999"
194,Condo/Co-op,4475 24th St #4,San Francisco,CA,94114,1750000,3,2,Noe Valley,1654,1058,308,37.7506157,-122.4422679,1979,"37.7506157,-122.4422679"
195,Condo/Co-op,1075 Market St #612,San Francisco,CA,94103,890000,1,1,699 - Not Defined,662,1344,738,37.7807996,-122.4118342,2018,"37.7807996,-122.4118342"
196,Condo/Co-op,461 2nd St Unit C135,San Francisco,CA,94107,1189000,1,1,South Beach,1317,903,709,37.7834473,-122.3936481,1907,"37.7834473,-122.3936481"
197,Multi-Family (2-4 Unit),1642-1644 Waller St,San Francisco,CA,94117,1995000,,,Haight Ashbury,2713,735,,37.7687206,-122.4513586,1904,"37.7687206,-122.45135859999999"
198,Condo/Co-op,2468 Bush Unit A,San Francisco,CA,94115,698000,1,1,Lower Pacific Height,,,188,37.786645,-122.4378985,1900,"37.786645,-122.43789850000002"
199,Condo/Co-op,1333 Jones St #1102,San Francisco,CA,94109,2199000,1,2,Nob Hill,1590,1383,1592,37.793621,-122.4148823,1960,"37.793621,-122.41488229999999"
200,Single Family Residential,1759 8th Ave,San Francisco,CA,94122,1325000,3,2,Inner Sunset,1760,753,,37.755515,-122.464973,1925,"37.755515,-122.464973"
201,Single Family Residential,1547 Thomas Ave,SAN FRANCISCO,CA,94124,899000,2,1.5,SAN FRANCISCO,1425,631,,37.7297137,-122.3904951,1941,"37.729713700000005,-122.3904951"
202,Condo/Co-op,3714 23rd St,San Francisco,CA,94114,1525000,3,2,Noe Valley,,,223,37.753561,-122.4257779,1900,"37.753561,-122.42577790000001"
203,Condo/Co-op,199 Tiffany Ave #210,San Francisco,CA,94110,1249000,2,2,Bernal Heights,1171,1067,731,37.744274,-122.4213436,2004,"37.744274,-122.4213436"
204,Single Family Residential,1500 Visitacion Ave,San Francisco,CA,94134,949000,3,2,San Francisco,1068,889,,37.7131716,-122.4135547,1944,"37.7131716,-122.4135547"
205,Single Family Residential,1246 47th Ave,San Francisco,CA,94122,650000,1,1,Outer Sunset,550,1182,,37.7632964,-122.5067807,1923,"37.763296399999994,-122.50678070000001"
206,Condo/Co-op,201 Folsom St Unit 6G,San Francisco,CA,94105,1795000,2,2,South Beach,1401,1281,1216,37.7887059,-122.3922385,2016,"37.788705900000004,-122.3922385"
207,Single Family Residential,1244 47th Ave,San Francisco,CA,94122,1088888,2,1,Outer Sunset,1056,1031,,37.7632902,-122.5070137,1923,"37.7632902,-122.50701370000002"
208,Condo/Co-op,1314 Greenwich St,San Francisco,CA,94109,855000,1,1,San Francisco,,,525,37.8009478,-122.421418,1924,"37.800947799999996,-122.42141799999999"
209,Single Family Residential,1324 Rhode Island St,San Francisco,CA,94107,4075000,4,4,Potrero Hill,3605,1130,,37.7529052,-122.4016184,1913,"37.7529052,-122.40161840000002"
210,Condo/Co-op,1635 California St #24,San Francisco,CA,94109,1099000,2,2,Nob Hill,915,1201,639,37.7901833,-122.4213456,2005,"37.790183299999995,-122.4213456"
211,Condo/Co-op,601 4th St #302,San Francisco,CA,94107,965000,1,1,South Beach,1026,941,576,37.7781631,-122.3957778,1918,"37.7781631,-122.39577779999999"
212,Condo/Co-op,1188 Valencia St #210,San Francisco,CA,94110,889000,1,1,Inner Mission,,,484,37.75392,-122.4210164,2018,"37.75392,-122.42101640000001"
213,Single Family Residential,661 Rockdale Dr,San Francisco,CA,94127,1325000,2,1,Miraloma Park,1150,1152,,37.7408812,-122.4507711,1930,"37.740881200000004,-122.45077109999998"
214,Condo/Co-op,53 Wilder St #403,San Francisco,CA,94131,1295000,2,2,Glen Park,1231,1052,688,37.7339803,-122.4336263,2006,"37.7339803,-122.4336263"
215,Condo/Co-op,1775 Broadway #8,SAN FRANCISCO,CA,94109,994500,1,1,SAN FRANCISCO,728,1366,662,37.795108,-122.426207,1925,"37.795108,-122.426207"
216,Condo/Co-op,301 Mission St Unit 33E,San Francisco,CA,94105,1995000,2,2,Yerba Buena,1714,1164,2670,37.7903824,-122.3961531,2009,"37.7903824,-122.39615309999999"
217,Multi-Family (2-4 Unit),2920 Gough St,San Francisco,CA,94123,3500000,4,3,Cow Hollow,3700,946,,37.8003671,-122.4274242,1937,"37.8003671,-122.4274242"
218,Single Family Residential,4412 17th St,San Francisco,CA,94114,2350000,3,2.5,Corona Heights,2073,1134,,37.762178,-122.443736,1907,"37.762178000000006,-122.44373600000002"
219,Multi-Family (2-4 Unit),1736-1738 Fell St,San Francisco,CA,94117,3495000,,,North Panhandle,6825,512,,37.7731919,-122.4467019,1900,"37.7731919,-122.44670190000001"
220,Condo/Co-op,158 Laidley St #3,San Francisco,CA,94131,895000,1,1,Glen Park,660,1356,268,37.7392008,-122.4289569,1960,"37.7392008,-122.42895690000002"
221,Condo/Co-op,1000 Pennsylvania Ave #12,San Francisco,CA,94107,1295000,2,3,Potrero Hill,1727,750,769,37.7539025,-122.3930979,2001,"37.7539025,-122.3930979"
222,Single Family Residential,2576 26th Ave,San Francisco,CA,94116,1128000,4,1.25,Parkside,2037,554,,37.7394617,-122.4827013,1931,"37.7394617,-122.4827013"
223,Single Family Residential,42 Meda Ave,SAN FRANCISCO,CA,94112,1309000,4,2,SAN FRANCISCO,1349,970,,37.7238428,-122.4416739,1916,"37.72384279999999,-122.44167390000001"
224,Single Family Residential,2956 19th Ave,SAN FRANCISCO,CA,94132,2098000,4,3,SAN FRANCISCO,2512,835,,37.7333515,-122.4747418,1936,"37.733351500000005,-122.4747418"
225,Single Family Residential,86 Fair Oaks St,San Francisco,CA,94110,2095000,2,1,Eureka Valley/Dolore,1740,1204,,37.7554038,-122.4245938,1908,"37.755403799999996,-122.42459380000001"
226,Condo/Co-op,765 Market St Ph 2CD,San Francisco,CA,94103,11000000,3,3.5,South of Market,3548,3100,5068,37.786097,-122.4041629,2001,"37.786097,-122.40416289999999"
227,Condo/Co-op,3418 26th St #11,San Francisco,CA,94110,719000,1,1,Inner Mission,,,570,37.7492018,-122.4189838,2014,"37.7492018,-122.41898379999999"
228,Single Family Residential,1407 Shafter Ave,San Francisco,CA,94124,950000,4,3,Bayview,,,,37.7288748,-122.387324,1920,"37.7288748,-122.38732399999999"
229,Condo/Co-op,339 Presidio Ave,San Francisco,CA,94115,1825000,3,1,Presidio Heights,1553,1175,104,37.7885096,-122.447168,1924,"37.788509600000005,-122.44716799999999"
230,Condo/Co-op,875 Vermont St #105,San Francisco,CA,94107,699000,1,1,Potrero Hill,,,184,37.7585731,-122.403654,nan,"37.7585731,-122.403654"
231,Condo/Co-op,756 Lake St,San Francisco,CA,94118,1750000,2,2,Lake,,,,37.7867145,-122.46775,nan,"37.7867145,-122.46775"
232,Single Family Residential,326 Hale St,SAN FRANCISCO,CA,94134,995000,2,2,SAN FRANCISCO,1416,703,,37.7314436,-122.4114479,1950,"37.7314436,-122.4114479"
233,Condo/Co-op,333 Beale St Unit 8A,San Francisco,CA,94105,998000,1,1,South Beach,873,1143,985,37.7884937,-122.3918797,2015,"37.788493700000004,-122.3918797"
234,Single Family Residential,152 Fairmount St,San Francisco,CA,94131,2195000,3,2,Glen Park,1716,1279,,37.7389943,-122.4266784,nan,"37.738994299999995,-122.4266784"
235,Condo/Co-op,81 Frank Norris St #304,San Francisco,CA,94109,525000,1,1,Downtown,632,831,462,37.7890804,-122.4200528,2007,"37.7890804,-122.4200528"
236,Single Family Residential,411 Vallejo St,SAN FRANCISCO,CA,94133,2480000,2,2.5,SAN FRANCISCO,1240,2000,,37.798997,-122.4044668,1906,"37.798997,-122.40446680000001"
237,Condo/Co-op,56 Danvers St,San Francisco,CA,94114,2000000,2,2,Eureka Valley/Dolore,,,300,37.7606318,-122.4438077,nan,"37.7606318,-122.44380770000001"
238,Multi-Family (2-4 Unit),148-152 Fillmore St,San Francisco,CA,94117,3250000,7,5,Hayes Valley,3801,855,,37.7710169,-122.4299664,1900,"37.7710169,-122.42996640000001"
239,Single Family Residential,1045 Cole St,San Francisco,CA,94117,3995000,4,3.5,Parnassus/Ashbury Heights,3472,1151,,37.7642483,-122.4498422,1905,"37.7642483,-122.4498422"
240,Condo/Co-op,1264 Dolores St,San Francisco,CA,94110,1749000,2,2,Noe Valley,1738,1006,375,37.7491533,-122.4252791,2012,"37.749153299999996,-122.4252791"
241,Single Family Residential,623 Athens St,San Francisco,CA,94112,948000,2,2,Excelsior,1270,746,,37.7180551,-122.4308761,1927,"37.7180551,-122.43087609999999"
242,Single Family Residential,892 Ashbury St,San Francisco,CA,94117,4995000,5,4,Buena Vista Park,4290,1164,,37.7657851,-122.445817,1905,"37.7657851,-122.44581699999999"
243,Condo/Co-op,1870 Jackson St #301,San Francisco,CA,94109,1650000,2,1,Pacific Heights,1350,1222,800,37.7938595,-122.4258544,1931,"37.793859499999996,-122.4258544"
244,Single Family Residential,3616 Folsom St,San Francisco,CA,94110,1995000,4,4,Bernal Heights,2030,983,,37.7412069,-122.4133888,1900,"37.741206899999995,-122.4133888"
245,Condo/Co-op,527 Oak St,San Francisco,CA,94102,1650000,2,2,Hayes Valley,1820,907,270,37.774205,-122.428032,1900,"37.774205,-122.428032"
246,Condo/Co-op,282 Pixley St,San Francisco,CA,94123,2288000,2,2,Cow Hollow,1733,1320,153,37.7984397,-122.4370474,nan,"37.7984397,-122.43704740000001"
247,Condo/Co-op,330 Mission Bay Blvd #604,San Francisco,CA,94158,2888000,2,2,Mission Bay,1569,1841,969,37.771662,-122.3874533,2008,"37.771662,-122.3874533"
248,Single Family Residential,718 Olmstead St,San Francisco,CA,94134,1159000,4,2,Portola,1660,698,,37.721074,-122.408964,1951,"37.721074,-122.40896399999998"
249,Condo/Co-op,125 Gilbert St #7,San Francisco,CA,94103,1295000,2,2.5,South of Market,1550,835,792,37.7732252,-122.4019151,1996,"37.773225200000006,-122.40191509999998"
250,Single Family Residential,70 Manor Dr,San Francisco,CA,94127,2695000,4,4,Mount Davidson Manor,2796,964,,37.7276432,-122.4642608,1927,"37.7276432,-122.4642608"
251,Single Family Residential,135 15th Ave,San Francisco,CA,94118,4590000,5,3.5,Lake,3939,1165,,37.7855345,-122.4746091,1912,"37.7855345,-122.4746091"
252,Single Family Residential,1874 32nd Ave,San Francisco,CA,94122,1448000,3,2,Central Sunset,1642,882,,37.7522606,-122.4900855,1941,"37.7522606,-122.49008549999999"
253,Single Family Residential,3015 Ulloa St,San Francisco,CA,94116,1580000,4,2,Parkside,1881,840,,37.7403928,-122.4887983,1926,"37.740392799999995,-122.4887983"
254,Single Family Residential,4064 17th St,San Francisco,CA,94114,5150000,4,3.5,Corona Heights,,,,37.762613,-122.4366652,1908,"37.762613,-122.4366652"
255,Condo/Co-op,435 China Basin St #547,San Francisco,CA,94158,1999999,2,2.5,Mission Bay,1685,1187,910,37.7715936,-122.3885893,2012,"37.771593599999996,-122.38858929999999"
256,Single Family Residential,325 Congdon St,San Francisco,CA,94112,1095000,4,2,Excelsior,1237,885,,37.7289951,-122.4257331,1910,"37.7289951,-122.4257331"
257,Condo/Co-op,2011 3rd St #6,San Francisco,CA,94107,1095000,2,2,Central Waterfront,1210,905,562,37.7639479,-122.3884823,1997,"37.7639479,-122.38848229999999"
258,Condo/Co-op,551 Clipper St,San Francisco,CA,94114,1249000,2,1,Noe Valley,1126,1109,225,37.748446,-122.437242,1921,"37.748446,-122.437242"
259,Condo/Co-op,370 De Haro St Unit B10,San Francisco,CA,94103,1695000,2,2.5,Potrero Hill,1622,1045,,37.7654597,-122.4021363,1999,"37.7654597,-122.4021363"
260,Single Family Residential,295 Hazelwood Ave,San Francisco,CA,94127,1749000,2,2,Westwood Highlands,1439,1215,,37.7327358,-122.4554595,nan,"37.73273579999999,-122.4554595"
261,Condo/Co-op,160 Hancock St #3,San Francisco,CA,94114,2995000,3,3,Eureka Valley/Dolore,2425,1235,400,37.7605212,-122.431844,2003,"37.76052120000001,-122.431844"
262,Condo/Co-op,1100 Sacramento St #1002,San Francisco,CA,94108,12495000,3,3.75,Nob Hill,4320,2892,5387,37.7929478,-122.4114198,1925,"37.79294779999999,-122.41141979999999"
263,Condo/Co-op,1267 Oak St,San Francisco,CA,94117,679000,1,1,Haight Ashbury,758,896,275,37.772502,-122.440134,1908,"37.772502,-122.44013400000001"
264,Single Family Residential,3741 Broderick St,San Francisco,CA,94123,9300000,5,4,Marina,5016,1854,,37.804979,-122.4457948,1939,"37.804978999999996,-122.44579479999999"
265,Single Family Residential,195 Magellan Ave,San Francisco,CA,94116,3000000,4,3,Forest Hill,2976,1008,,37.7475875,-122.4597055,1950,"37.7475875,-122.4597055"
266,Multi-Family (2-4 Unit),3132-3136 23rd St,San Francisco,CA,94110,1200000,4,3,Inner Mission,2191,548,,37.7541819,-122.4150611,1900,"37.7541819,-122.4150611"
267,Multi-Family (2-4 Unit),479-481 32nd Ave,San Francisco,CA,94121,3250000,8,8,Central Richmond,5320,611,,37.7802087,-122.4925976,1923,"37.7802087,-122.4925976"
268,Townhouse,5031 Diamond Heights Blvd,San Francisco,CA,94131,1499000,3,2.5,Diamond Heights,2188,685,675,37.747421,-122.442688,1979,"37.747421,-122.44268799999999"
269,Condo/Co-op,180 Corwin,San Francisco,CA,94114,995000,2,1,Eureka Valley/Dolore,,,469,37.7581502,-122.4407171,nan,"37.7581502,-122.44071709999999"
270,Condo/Co-op,236 Moultrie St,San Francisco,CA,94110,798000,2,1,Bernal Heights,,,,37.7411202,-122.4159179,1900,"37.741120200000005,-122.4159179"
271,Condo/Co-op,181 Ofarrell St #302,San Francisco,CA,94102,1295000,2,1.5,Downtown,1499,864,805,37.7861884,-122.4076329,2006,"37.78618839999999,-122.40763290000001"
272,Condo/Co-op,195 7th St #309,San Francisco,CA,94103,425000,0,1,South of Market,307,1384,370,37.7782751,-122.4094319,1991,"37.7782751,-122.40943190000002"
273,Condo/Co-op,240 Lombard St #229,San Francisco,CA,94111,599000,1,1,North Waterfront,580,1033,945,37.8042439,-122.4055041,1993,"37.8042439,-122.4055041"
274,Condo/Co-op,45 Bartlett St #416,San Francisco,CA,94110,698000,1,1,Inner Mission,517,1350,540,37.7559364,-122.419286,2014,"37.7559364,-122.41928600000001"
275,Condo/Co-op,2482 Bush St,San Francisco,CA,94115,1650000,2,1,Lower Pacific Height,1522,1084,410,37.786716,-122.438095,1900,"37.786716,-122.43809499999999"
276,Single Family Residential,375 Naples St,San Francisco,CA,94112-2058,1398888,3,1.5,Excelsior,1700,823,,37.7227237,-122.4295645,1917,"37.7227237,-122.4295645"
277,Single Family Residential,180 Princeton St,SAN FRANCISCO,CA,94134,1460000,3,4,SAN FRANCISCO,1794,814,,37.7274034,-122.4157422,1974,"37.7274034,-122.4157422"
278,Condo/Co-op,1468 Francisco St #3,San Francisco,CA,94123,1199000,1,1,Marina,984,1218,350,37.8029289,-122.4294106,1924,"37.8029289,-122.4294106"
279,Multi-Family (2-4 Unit),593-595 Clipper St,San Francisco,CA,94114,3800000,4,3.5,Noe Valley,2309,1646,,37.7484554,-122.4380625,1921,"37.7484554,-122.4380625"
280,Condo/Co-op,1000 North Point St #405,San Francisco,CA,94109,679000,0,1,Russian Hill,,,504,37.8055099,-122.4241573,1965,"37.8055099,-122.42415729999999"
281,Single Family Residential,46 Cook,San Francisco,CA,94118,2790000,4,3,Jordan Park/Laurel Heights,3216,868,,37.782883,-122.452035,1900,"37.782883,-122.45203500000001"
282,Condo/Co-op,2600 18th St #7,San Francisco,CA,94110,1299000,2,2,Inner Mission,1304,996,573,37.762136,-122.4084792,1999,"37.762136,-122.40847920000002"
283,Condo/Co-op,322 Graystone Ter,San Francisco,CA,94114,998000,2,2,Twin Peaks,971,1028,105,37.756323,-122.443739,1958,"37.756322999999995,-122.443739"
284,Single Family Residential,1252 Church St,San Francisco,CA,94110,1195000,2,1,Noe Valley,1050,1138,,37.7506935,-122.4275912,1900,"37.7506935,-122.4275912"
285,Condo/Co-op,1150 Sacramento St #504,San Francisco,CA,94108,2998000,2,2.5,Nob Hill,2555,1173,2715,37.7929839,-122.4117974,1989,"37.792983899999996,-122.41179740000001"
286,Single Family Residential,25 Chaves Ave,San Francisco,CA,94127,1498000,5,3,Miraloma Park,2255,664,,37.7426071,-122.4530269,1931,"37.7426071,-122.45302690000001"
287,Single Family Residential,364 Valley St,San Francisco,CA,94131,998000,1,1,Noe Valley,773,1291,,37.744498,-122.4304226,nan,"37.744498,-122.4304226"
288,Condo/Co-op,4024 18th St,San Francisco,CA,94114,2495000,3,2.5,Eureka Valley/Dolore,1930,1293,,37.7612088,-122.4334281,1900,"37.7612088,-122.4334281"
289,Condo/Co-op,4026 18th St,San Francisco,CA,94114,1995000,3,3,Eureka Valley/Dolore,1690,1180,,37.76117,-122.4334751,1900,"37.76117,-122.4334751"
290,Condo/Co-op,950 Tennessee St #211,San Francisco,CA,94107,1399000,2,2,Central Waterfront,1073,1304,598,37.7596747,-122.3898245,2020,"37.759674700000005,-122.38982450000002"
291,Condo/Co-op,950 Tennessee St #121,San Francisco,CA,94107,1199000,2,2,Central Waterfront,970,1236,598,37.7596747,-122.3898245,2020,"37.759674700000005,-122.38982450000002"
292,Condo/Co-op,950 Tennessee St #208,San Francisco,CA,94107,659000,0,1,Central Waterfront,472,1396,435,37.7596747,-122.3898245,2020,"37.759674700000005,-122.38982450000002"
293,Condo/Co-op,950 Tennessee St #116,San Francisco,CA,94107,669000,0,1,Central Waterfront,472,1417,435,37.7596747,-122.3898245,2020,"37.759674700000005,-122.38982450000002"
294,Condo/Co-op,955 Leavenworth St,SAN FRANCISCO,CA,94109,1545000,3,2,SAN FRANCISCO,1722,897,250,37.7900113,-122.4158089,1908,"37.790011299999996,-122.41580890000002"
295,Single Family Residential,2851 25th St,San Francisco,CA,94110,1895000,3,1.5,Inner Mission,1860,1019,,37.7511649,-122.4072825,1929,"37.7511649,-122.4072825"
296,Single Family Residential,817 Rockdale Dr,San Francisco,CA,94127,1395000,2,1,Miraloma Park,1125,1240,,37.7411205,-122.4533807,1928,"37.7411205,-122.4533807"
297,Condo/Co-op,225 26th Ave #1,San Francisco,CA,94121,1959000,4,3.5,Lake,2031,965,391,37.7851271,-122.4865075,2001,"37.785127100000004,-122.4865075"
298,Condo/Co-op,875 La Playa St #373,San Francisco,CA,94121,625000,1,1,Outer Richmond,767,815,758,37.7716975,-122.5103084,1983,"37.771697499999995,-122.5103084"
299,Condo/Co-op,712 Bryant St #4,San Francisco,CA,94107,1740000,2,2.5,South of Market,2180,798,833,37.7777254,-122.400944,2001,"37.777725399999994,-122.400944"
300,Single Family Residential,150 Beaumont Ave,San Francisco,CA,94118,2795000,5,3,Lone Mountain,2904,962,,37.7789,-122.4543538,1948,"37.7789,-122.45435379999999"
301,Single Family Residential,1820 Kirkham St,San Francisco,CA,94122,2195000,4,3,Central Sunset,2274,965,,37.7598802,-122.4805788,1932,"37.759880200000005,-122.48057879999999"
302,Condo/Co-op,425 1st St #4901,San Francisco,CA,94105,1315000,1,1,South Beach,837,1571,,37.7860625,-122.3921764,2008,"37.7860625,-122.3921764"
303,Condo/Co-op,1788 Clay St #405,San Francisco,CA,94109,925000,1,1,Nob Hill,780,1186,668,37.7925699,-122.4222498,2014,"37.7925699,-122.42224979999999"
304,Condo/Co-op,1177 California St #724,San Francisco,CA,94108,1755000,2,2,Nob Hill,1653,1062,1779,37.7910262,-122.4136476,1978,"37.791026200000005,-122.4136476"
305,Single Family Residential,595 Clipper St,San Francisco,CA,94114,3800000,4,3,Noe Valley,2309,1646,,37.7485106,-122.4380903,1921,"37.7485106,-122.4380903"
306,Single Family Residential,745 Goettingen St,SAN FRANCISCO,CA,94134,1295000,4,3,SAN FRANCISCO,1455,890,,37.7227524,-122.4046828,1951,"37.7227524,-122.4046828"
307,Single Family Residential,2341 Vallejo St,San Francisco,CA,94123,6500000,4,4,Pacific Heights,3685,1764,,37.7949444,-122.4358087,1922,"37.7949444,-122.43580870000001"
308,Multi-Family (2-4 Unit),4231 4231A 26th St,San Francisco,CA,94131,3045000,5,4,Noe Valley,,,,37.7478511,-122.4349444,1907,"37.7478511,-122.43494440000002"
309,Condo/Co-op,755 Capp St,San Francisco,CA,94110,1695000,3,1,Inner Mission,1890,897,200,37.754276,-122.417223,1900,"37.754276000000004,-122.41722299999999"
310,Condo/Co-op,170 King St #409,San Francisco,CA,94107,818000,1,1,South Beach,690,1186,698,37.7789817,-122.3917515,2007,"37.7789817,-122.39175149999998"
311,Condo/Co-op,601 4th St #312,San Francisco,CA,94107,1250000,1,2,South Beach,1147,1090,689,37.7781631,-122.3957778,1916,"37.7781631,-122.39577779999999"
312,Condo/Co-op,35 Alpine Ter #5,San Francisco,CA,94117,2999000,2,2.5,Buena Vista Park,,,715,37.769774,-122.437413,1958,"37.769774,-122.43741299999999"
313,Single Family Residential,1485 11th Ave,San Francisco,CA,94122,1288000,3,2,Inner Sunset,,,,37.7605008,-122.4684179,1922,"37.760500799999996,-122.4684179"
314,Condo/Co-op,4231 26th St #4231,San Francisco,CA,94131,1495000,2,1,Noe Valley,1553,963,,37.747929,-122.4349606,1907,"37.747929,-122.4349606"
315,Condo/Co-op,4231 4231A 26th St Unit 4231A,San Francisco,CA,94131,1550000,3,3,Noe Valley,1401,1106,,37.7478511,-122.4349444,1907,"37.7478511,-122.43494440000002"
